# X/B  Centerline_Wake_Profile/B  Quarterbeam_Wake_Profile/B
0.000000 0.000000 0.000000
0.050000 0.001137 0.000703
0.100000 0.003216 0.001988
0.150000 0.005907 0.003652
0.200000 0.009095 0.005623
0.250000 0.012710 0.007858
0.300000 0.016707 0.010328
0.350000 0.021051 0.013014
0.400000 0.025716 0.015898
0.450000 0.030681 0.018968
0.500000 0.035927 0.022211
0.550000 0.041439 0.025619
0.600000 0.047203 0.029182
0.650000 0.053208 0.032894
0.700000 0.059441 0.036748
0.750000 0.065893 0.040737
0.800000 0.072555 0.044855
0.850000 0.079417 0.049097
0.900000 0.086471 0.053458
0.950000 0.093709 0.057933
1.000000 0.101123 0.062517
1.050000 0.108706 0.067204
1.100000 0.116450 0.071992
1.150000 0.124347 0.076874
1.200000 0.132391 0.081847
1.250000 0.140574 0.086906
1.300000 0.148889 0.092047
1.350000 0.157329 0.097265
1.400000 0.165887 0.102555
1.450000 0.174554 0.107914
1.500000 0.183325 0.113336
1.550000 0.192191 0.118817
1.600000 0.201144 0.124352
1.650000 0.210178 0.129937
1.700000 0.219284 0.135567
1.750000 0.228455 0.141236
1.800000 0.237682 0.146940
1.850000 0.246957 0.152674
1.900000 0.256272 0.158433
1.950000 0.265618 0.164211
2.000000 0.274987 0.170003
2.050000 0.284370 0.175804
2.100000 0.293758 0.181608
2.150000 0.303142 0.187409
2.200000 0.312512 0.193202
2.250000 0.321860 0.198981
2.300000 0.331176 0.204740
2.350000 0.340449 0.210474
2.400000 0.349671 0.216175
2.450000 0.358831 0.221838
2.500000 0.367919 0.227456
2.550000 0.376925 0.233024
2.600000 0.385838 0.238534
2.650000 0.394648 0.243981
2.700000 0.403345 0.249357
2.750000 0.411916 0.254656
2.800000 0.420353 0.259872
2.850000 0.428643 0.264997
2.900000 0.436776 0.270025
2.950000 0.444740 0.274949
3.000000 0.452525 0.279761
